Territorialidades,Índice de Theil-L 2010,Índice de Gini 2010,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Mortalidade até 5 anos de idade 2010,Probabilidade de sobrevivência até 40 anos 2010,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010,Probabilidade de sobrevivência até 60 anos 2010,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Renda per capita 2010
Caraúbas (PB),"0,39","0,45","67,61","35,2","37,99","91,93","0,585","0,58","0,71","0,485","77,65","0,658","0,264","2,27","60,06","11,57","296,38"
Carrapateira (PB),"0,45","0,47","70,91","24,7","26,62","94,27","0,603","0,529","0,765","0,543","83,38","0,702","0,324","2,48","55,53","7,74","214,54"
Casserengue (PB),"0,63","0,57","68,81","31,1","33,58","92,83","0,514","0,492","0,73","0,379","79,79","0,552","0,178","2,49",63,"9,83","171,37"
Catingueira (PB),"0,53","0,52","70,17","26,8","28,96","93,78","0,574","0,553","0,753","0,455","82,14","0,593","0,267",2,"57,15","9,23","249,16"
Catolé do Rocha (PB),"0,47","0,5","72,23",21,"22,72","95,08","0,64","0,617","0,787","0,539","85,51","0,658","0,361","1,91","48,79","9,21","371,92"
Caturité (PB),"0,58","0,56","71,91","21,9","23,64","94,89","0,623","0,617","0,782","0,502",85,"0,593","0,359","2,19","56,55","9,29","371,05"
Conceição (PB),"0,6","0,56","70,23","26,7","28,78","93,82","0,592","0,577","0,754","0,476","82,24","0,582","0,319","1,97","51,84","8,76","290,63"
Condado (PB),"0,46","0,48","71,16",24,"25,85","94,43","0,594","0,573","0,769","0,476","83,79","0,619","0,282","1,78","56,84","11,65","282,25"
Conde (PB),"0,49","0,52","72,84","19,5","21,04","95,44","0,618","0,591","0,797","0,5","86,46","0,585","0,366","2,37","53,28","5,2","316,81"
Congo (PB),"0,45","0,49","68,85",31,"33,45","92,85","0,581","0,562","0,731","0,477","79,85","0,6","0,302","2,25","59,53","11,39","263,84"
Coremas (PB),"0,48","0,51","72,65",20,"21,54","95,33","0,592","0,578","0,794","0,452","86,17","0,565","0,289","2,15","56,14","9,4","291,3"
Coxixola (PB),"0,46","0,48","72,63",20,"21,62","95,32","0,641","0,586","0,794","0,567","86,13","0,735","0,338","1,85","49,45","13,5","306,15"
Cruz do Espírito Santo (PB),"0,33","0,43","71,66","22,6","24,36","94,74","0,552","0,531","0,778","0,408","84,6","0,53","0,242","2,69","56,27","6,59","217,47"
